"","type","ifp_id","fcast.date","dist","par.1","par.2","q_05","q_25","q_50","q_75","q_95","method"
"1","fixed","1410-0",2014-09-17,"beta",95.9906756315376,95.7325371775729,0.44140522381624,0.476301112245568,0.500675551823204,0.525047848516551,0.559933180892584,"CM1: Median Theta"
"2","random","1410-0",2014-09-17,"beta",91.2333941702443,108.496128561697,0.399180470530162,0.43291700275081,0.456640187104953,0.480495383249097,0.514882326466113,"CM1: Median Theta"
"3","user","1410-0",2014-09-17,"beta",51.4009799418963,56.2018006114059,0.399039366112809,0.445097357418242,0.477553205997178,0.510136177537239,0.556818294616819,"CM1: Median Theta"
"4","fixed","1412-0",2014-10-14,"normal",1292.38240248897,31.5693704507202,1240.45540900253,1271.08918569982,1292.38240248897,1313.67561927812,1344.30939597541,"CM1: Median Theta"
"5","user","1412-0",2014-10-14,"normal",1294.83846149084,58.3739442959893,1198.82186749611,1255.46583438467,1294.83846149084,1334.211088597,1390.85505548556,"CM1: Median Theta"
"6","random","1412-0",2014-10-14,"normal",1298.12053365254,34.6886170095089,1241.06283615052,1274.72341703115,1298.12053365254,1321.51765027393,1355.17823115456,"CM1: Median Theta"
"7","fixed","1413-0",2014-12-30,"gamma",3.38163555210331,0.0127961682805667,79.6384617878854,158.792161120775,238.726228344454,342.109765785041,536.150414351578,"CM1: Median Theta"
"8","user","1413-0",2014-12-30,"gamma",4.13405435566184,0.0196988757959575,73.3297427724365,134.311535856407,193.205232999056,267.364947504247,403.280835473833,"CM1: Median Theta"
"9","random","1413-0",2014-12-30,"gamma",18.1706450869479,0.0745819541115394,157.836441889921,203.044920969979,239.178779807691,279.372060580193,344.629050940386,"CM1: Median Theta"
"10","fixed","1414-0",2014-09-14,"normal",38293536452.598,7071561351.26703,26661853115.7566,33523840803.2857,38293536452.598,43063232101.9104,49925219789.4395,"CM1: Median Theta"
"11","user","1414-0",2014-09-14,"normal",64268439157.6797,19503076195.4247,32188733540.9244,51113814166.5725,64268439157.6797,77423064148.7868,96348144774.435,"CM1: Median Theta"
"12","random","1414-0",2014-09-14,"normal",16801406531.2113,3344974322.94637,11299413384.0534,14545255635.7149,16801406531.2113,19057557426.7077,22303399678.3692,"CM1: Median Theta"
"13","fixed","1415-0",2014-08-25,"gamma",1.23677286736032,0.0131820480566425,7.74368930225197,32.7980688374161,70.0919590919497,129.521251011687,260.958237004602,"CM1: Median Theta"
"14","random","1415-0",2014-08-25,"gamma",2.65548458601752,0.0560213112386296,11.5370261564169,26.0133594351766,41.6024016620459,62.5287667465448,103.078622521718,"CM1: Median Theta"
"15","user","1415-0",2014-08-25,"gamma",1.27794669855469,0.0465583172153423,2.41643245694721,9.85355520740924,20.7125954005443,37.8498784907094,75.4897941485173,"CM1: Median Theta"
"16","random","1416-0",2014-12-30,"gamma",42,42,0.760431683845645,0.892057663531109,0.992074787494664,1.09930773527496,1.26660524098479,"CM1: Median Theta"
"17","fixed","1416-0",2014-12-30,"gamma",42,19.4313086528946,1.64364280821402,1.92814712264505,2.14433015393273,2.37610990110389,2.7377167987827,"CM1: Median Theta"
