ifp_idx,dist,ctpts,status
1410,beta,0.5,closed
1411,gamma,6/1/15,
1412,normal,1200,closed
1413,gamma,1/1/15,closed
1414,normal,4834931,closed
1415,gamma,10/1/14,closed
1416,gamma,1/1/15,closed
1417,gamma,6/1/15,
1418,gamma,11/1/14,closed
1419,gamma,1/1/15,closed
1420,gamma,6/1/15,
1421,gamma,6/1/15,
1422,gamma,2014-8-27|2014-10-15,
1423,gamma,6/1/15,closed
1424,normal,38,closed
1425,gamma,6/1/15,closed
1426,normal,8|17|24,
1427,gamma,1/1/15,closed
1428,gamma,1/1/15,closed
1429,gamma,12/1/14,closed
1430,gamma,6/1/15,
1431,normal,4000|10000|20000,closed
1432,gamma,5/1/15,closed
1433,gamma,6/5/15,closed
1434,gamma,1/1/15,closed
1435,gamma,6/1/15,
1436,normal,8|17|24,
1437,gamma,6/1/15,
1438,gamma,4/1/15,closed
1439,beta,.003|.006,closed
1440,gamma,6/1/15,
1441,gamma,2014-12-01|2015-01-31|2015-03-31| 2015-05-31,
1442,gamma,6/1/15,closed
1443,gamma,2/1/15,closed
1444,gamma,2014-12-01|2015-01-31|2015-03-31|2015-05-31|2015-05-31,
1445,normal,6.17|6.25,closed
1446,gamma,2014-12-01|2015-01-31|2015-03-31|2015-05-31,
1447,gamma,1/1/15,
1448,gamma,2/1/15,closed
1449,gamma,12/1/14,closed
1450,gamma,11/27/14,closed
1451,gamma,2014-11-01|2014-11-30|2014-12-31|2015-1-31,closed
1454,normal,0,closed
1455,gamma,6/1/15,
1456,beta,4|6,closed
1457,gamma,3/1/15,closed
1459,gamma,6/10/15,
1460,normal,15.6,closed
1461,gamma,12/15/14,closed
1462,gamma,6/10/15,
1463,gamma,2014-11-24|2014-12-31|2015-01-31|2015-02-28|2015-06-10,closed
1464,normal,71,closed
1465,gamma,2015-01-01|2015-01-31|2015-02-28|2015-03-31,closed
1466,gamma,6/10/15,
1467,gamma,6/10/15,
1468,gamma,02/01/2015|03/31/2015|05/31/2015,
1469,gamma,1/1/15,
1470,gamma,02/01/2015|03/31/2015|05/31/2015,
1471,gamma,01/01/2015|02/28/2015|04/30/2015,closed
1472,gamma,6/10/15,
1473,gamma,03/01/2015|06/09/2015,
1474,gamma,6/1/15,closed
1476,gamma,5/1/15,closed
1477,gamma,6/10/15,
1478,gamma,3/1/15,closed
1479,gamma,01/15/15|02/14/15|01/15/15,closed
1480,gamma,6/10/15,
1481,normal,0|1|2|3,closed
1482,gamma,6/1/15,
1484,beta,0.033,closed
1485,gamma,2015-03-01|2015-05-31,
1486,gamma,2015-06-01,
1487,gamma,2015-06-10,
1488,gamma,2015-02-01|2015-02-28|2015-03-31|2015-04-30,closed
1489,gamma,2015-03-01|2015-04-31,closed
1490,gamma,2015-06-01,
1491,NA,1|2,
1492,gamma,03/01/15|03/31/15|04/30/15,closed
1493,gamma,02/01/15|02/28/15|03/31/15,closed
1494,gamma,01/21/15|03/31/15,closed
1495,gamma,03/01/15|04/30/15,closed
1496,gamma,2015-04-01,closed
1497,gamma,2015-01-21|2015-06-01,
1498,NA,
1499,gamma,2015-06-01
1500,gamma,2015-03-13|2015-04-30,closed
1501,gamma,2015-03-15,closed
1502,gamma,2015-04-01,closed
1503,normal,53|58,closed
1504,gamma,2015-06-10,
1505,gamma,2015-02-04|2015-06-01,
1506,gamma,2015-06-01,
1507,gamma,2015-02-11|2015-05-01,closed
1508,gamma,2015-06-01,closed
1509,gamma,2015-04-25,closed
1510,gamma,2015-02-11|2015-06-01,
1511,gamma,2015-04-01|2015-06-09,
1512,gamma,2015-06-10,
1513,gamma,2015-06-1,
1514,gamma,2015-06-1,
1515,gamma,2015-06-1,
1517,normal,40,closed
1518,gamma,2015-04-11|2015-05-31,
1519,gamma,2015-06-10,
1520,gamma,2015-06-1,
1521,gamma,2015-04-01|2015-06-09,closed
1522,normal,0.01,
1523,beta,.8|.75,
1524,gamma,2015-06-1,
1527,gamma,2015-05-11,closed
1528,gamma,2015-06-09,
1529,gamma,2015-06-10,
1530,beta,.10|.15,closed
1531,gamma,2015-04-08|2015-04-30|2015-06-09,
1532,gamma,2015-04-01|2015-06-09,
1533,gamma,2015-06-10,
1534,normal,35|40|45,
1535,gamma,2015-06-10,
1536,normal,6.22|6.30,
1537,gamma,2015-06-10,
1538,gamma,2015-06-10,
1539,gamma,2015-06-10,
1540,gamma,2015-06-10,
1541,gamma,2015-06-10,
1542,gamma,2015-06-10,
1543,gamma,2015-06-10,
1544,gamma,2015-06-10,
