ifp_idx,dist,ctpts
1410,beta,0.5
1411,gamma,6/1/15
1412,normal,1200
1413,gamma,1/1/15
1414,normal,4834931
1415,gamma,10/1/14
1416,gamma,1/1/15
1417,gamma,6/1/15
1418,gamma,11/1/14
1419,gamma,1/1/15
1420,gamma,6/1/15
1421,gamma,6/1/15
1422,gamma,2014-8-27|2014-10-15
1423,gamma,6/1/15
1424,normal,38
1425,gamma,6/1/15
1426,normal,8|17|24
1427,gamma,1/1/15
1428,gamma,1/1/15
1429,gamma,12/1/14
1430,gamma,6/1/15
1431,normal,4000|10000|20000
1432,gamma,5/1/15
1433,gamma,6/5/15
1434,gamma,1/1/15
1435,gamma,6/1/15
1436,normal,8|17|24
1437,gamma,6/1/15
1438,gamma,4/1/15
1439,beta,.003|.006
1440,gamma,6/1/15
1441,gamma,2014-12-01|2015-01-31|2015-03-31| 2015-05-31
1442,gamma,6/1/15
1443,gamma,2/1/15
1444,gamma,2014-12-01|2015-01-31|2015-03-31|2015-05-31|2015-05-31
1445,normal,6.17|6.25
1446,gamma,2014-12-01|2015-01-31|2015-03-31|2015-05-31
1447,gamma,1/1/15
1448,gamma,2/1/15
1449,gamma,12/1/14
1450,gamma,11/27/14
1451,gamma,2014-11-01|2014-11-30|2014-12-31|2015-1-31
1454,normal,0
1455,gamma,6/1/15
1456,beta,4|6
1457,gamma,3/1/15
1459,gamma,6/10/15
1460,normal,15.6
1461,gamma,12/15/14
1462,gamma,6/10/15
1463,gamma,2014-11-24 | 2014-12-31 | 2015-01-31 | 2015-02-28
1464,normal,71
1465,gamma,2015-01-01 | 2015-01-31 | 2015-02-28 | 2015-03-31
1466,gamma,6/10/15
1467,gamma,6/10/15
1468,gamma,2015-02-01|2015-03-31|2015-05-31
1469,gamma,1/1/15
1470,gamma,2015-02-01|2015-03-31|2015-05-31
1471,gamma,2015-01-01|2015-02-28|2015-04-30
1472,gamma,6/10/15
1473,gamma,2015-03-01|2015-06-09
1474,gamma,6/1/15
1476,gamma,5/1/15
1477,gamma,6/10/15
1478,gamma,3/1/15
1479,gamma,
1480,gamma,6/10/15
1481,normal,0|1|2|3
1482,gamma,6/1/15
1484,beta,0.033
1485,gamma,2015-03-01|2015-05-31
1486,gamma,6/1/15
1487,gamma,6/10/15
1488,gamma,02/01/15|02/28/15|03/31/15|04/30/15
1489,gamma,03/01/15|04/31/15
1490,gamma,6/1/15
1491,,1|2
1492,gamma,03/01/15|03/31/15|04/30/15
1493,gamma,02/01/15|02/28/15|03/31/15
1494,gamma,01/21/15|03/31/15
1495,gamma,03/01/15|04/30/15
1496,gamma,4/1/15
1497,gamma,01/21/15|06/01/15
1498,,Cutpoint will be determined at close. (Will conversative party hold more seats than any other party in UK house of commons elections?)
1499,gamma,6/1/15
1500,gamma,03/13/15|04/30/15
1501,gamma,3/15/15
1502,gamma,4/1/15
1503,normal,53|58
1504,gamma,6/10/15
1505,gamma,02/04/15|06/01/15
1506,gamma,6/1/15
1507,gamma,02/11/15|05/01/15
1508,gamma,6/1/15
1509,gamma,4/25/15
1510,gamma,02/11/15|06/01/15
1511,gamma,04/01/15|06/09/15
1512,gamma,6/10/15
1513,gamma,6/1/15
1514,gamma,6/1/15
1515,gamma,6/1/15
1517,normal,40
1518,gamma,04/01/15|05/31/15
1519,gamma,6/10/15
1520,gamma,6/1/15
