IFP #,Date,
1410,0.447,number
1412,1333.64,number
1414,4888765,number
1415,2014-08-25,date
1418,2014-09-29,date
1419,2015-11-27,date
1422,VOIDED,
1423,2014-11-11,date
1424,1900-02-18,date
1425,2015-11-17,date
1426,,
1429,2014-09-22,date
1431,,
1432,2014-10-9,date
1433,2014-10-7,date
1436,25,number
1442,2014-10-9,date
1443,2014-11-3,date
1445,6.2556,number
1447,,
1451,2015-03-3,date
1454,0.00,number
1456,0.04,number
1460,14.59,number
1471,2014-11-28,date
1476,2015-01-26,date
1493,2015-01-28,date
1494,2015-02-3,date
1500,2015-02-6,date
1501,2015-03-3,date
1508,2015-03-2,date
1510,,
